batter,bowler,innings,overs,ballnumber,isWicketDelivery,team
RV Uthappa,A Nortje,1,4,5,0,DC
V Kohli,A Nortje,2,5,6,0,DC
RV Uthappa,A Nortje,1,4,6,0,DC
Shubman Gill,A Nortje,2,3,5,0,DC
Shubman Gill,A Nortje,2,3,6,0,DC
Shubman Gill,A Nortje,1,1,5,1,DC
RA Tripathi,A Nortje,1,1,6,0,DC
RA Tripathi,A Nortje,1,5,4,1,DC
KD Karthik,A Nortje,1,5,5,0,DC
Shubman Gill,A Nortje,2,1,5,0,DC
Shubman Gill,A Nortje,2,3,2,0,DC
Shubman Gill,A Nortje,1,1,3,0,DC
RA Tripathi,A Nortje,1,5,2,0,DC
KD Karthik,A Nortje,1,5,6,0,DC
Shubman Gill,A Nortje,2,3,1,0,DC
RA Tripathi,A Nortje,1,5,1,0,DC
Shubman Gill,A Nortje,2,3,4,0,DC
SR Watson,A Nortje,2,2,1,0,DC
SR Watson,A Nortje,2,2,2,0,DC
SR Watson,A Nortje,2,2,3,0,DC
SR Watson,A Nortje,2,2,4,0,DC
SR Watson,A Nortje,2,2,5,0,DC
F du Plessis,A Nortje,2,5,1,0,DC
SR Watson,A Nortje,2,2,6,0,DC
F du Plessis,A Nortje,2,5,4,0,DC
F du Plessis,A Nortje,2,5,3,0,DC
F du Plessis,A Nortje,2,5,2,0,DC
MK Pandey,A Nortje,2,2,2,0,DC
MK Pandey,A Nortje,2,2,1,0,DC
D Padikkal,A Nortje,2,0,5,1,DC
AB de Villiers,A Nortje,2,5,2,0,DC
AB de Villiers,A Nortje,2,5,3,0,DC
AB de Villiers,A Nortje,2,5,5,1,DC
D Padikkal,A Nortje,1,5,6,0,DC
AB de Villiers,A Nortje,2,5,4,0,DC
D Padikkal,A Nortje,1,5,5,0,DC
Shubman Gill,A Nortje,2,0,2,0,DC
Shubman Gill,A Nortje,2,0,1,0,DC
Shubman Gill,A Nortje,2,0,1,0,DC
DA Warner,A Nortje,1,0,1,0,DC
DA Warner,A Nortje,1,0,2,0,DC
DA Warner,A Nortje,1,0,3,1,DC
KS Williamson,A Nortje,1,0,5,0,DC
KS Williamson,A Nortje,1,0,6,0,DC
KS Williamson,A Nortje,1,2,3,0,DC
DA Warner,A Nortje,1,0,1,0,DC
DA Warner,A Nortje,1,0,2,0,DC
DA Warner,A Nortje,1,3,2,0,DC
DA Warner,A Nortje,1,3,6,0,DC
KS Williamson,A Nortje,1,2,1,0,DC
KS Williamson,A Nortje,1,2,4,0,DC
DA Warner,A Nortje,1,0,3,0,DC
KS Williamson,A Nortje,1,0,4,0,DC
DA Warner,A Nortje,1,3,1,0,DC
DA Warner,A Nortje,1,3,5,0,DC
DA Warner,A Nortje,1,3,3,0,DC
DA Warner,A Nortje,1,3,4,0,DC
D Padikkal,A Nortje,2,1,6,0,DC
Ishan Kishan,A Nortje,2,5,6,0,DC
Q de Kock,A Nortje,2,4,4,0,DC
MA Agarwal,A Nortje,2,0,4,0,DC
MA Agarwal,A Nortje,2,0,5,0,DC
MA Agarwal,A Nortje,2,0,6,0,DC
MA Agarwal,A Nortje,2,3,6,0,DC
Q de Kock,A Nortje,2,4,6,0,DC
Q de Kock,A Nortje,2,4,1,0,DC
Q de Kock,A Nortje,2,4,2,0,DC
Q de Kock,A Nortje,2,4,3,0,DC
Q de Kock,A Nortje,2,4,5,0,DC
YBK Jaiswal,A Nortje,1,3,2,0,DC
YBK Jaiswal,A Nortje,1,3,3,0,DC
YBK Jaiswal,A Nortje,1,3,1,0,DC
YBK Jaiswal,A Nortje,1,3,6,0,DC
JM Bairstow,A Nortje,2,3,6,1,DC
PBB Rajapaksa,A Nortje,2,3,7,0,DC
JM Bairstow,A Nortje,2,1,3,0,DC
JM Bairstow,A Nortje,2,1,6,0,DC
JM Bairstow,A Nortje,2,3,2,0,DC
JM Bairstow,A Nortje,2,1,2,0,DC
JM Bairstow,A Nortje,2,3,1,0,DC
JM Bairstow,A Nortje,2,3,5,0,DC
Q de Kock,A Nortje,1,5,1,0,DC
Q de Kock,A Nortje,1,5,4,0,DC
Q de Kock,A Nortje,1,5,5,0,DC
Q de Kock,A Nortje,1,4,1,0,DC
Q de Kock,A Nortje,2,5,1,0,DC
Q de Kock,A Nortje,2,5,2,0,DC
Q de Kock,A Nortje,2,5,4,0,DC
Q de Kock,A Nortje,1,5,2,0,DC
Q de Kock,A Nortje,1,5,6,0,DC
