batter,bowler,innings,overs,ballnumber,isWicketDelivery,batsman_run,team
AM Rahane,B Kumar,1,2,1,0,0,CSK
AM Rahane,B Kumar,1,2,2,0,0,CSK
AM Rahane,B Kumar,1,2,3,0,0,CSK
AM Rahane,M Jansen,1,3,6,0,0,CSK
AM Rahane,B Kumar,1,2,4,0,1,CSK
AM Rahane,M Jansen,1,3,1,0,1,CSK
AM Rahane,T Natarajan,1,4,6,0,1,CSK
AM Rahane,M Jansen,1,5,3,0,1,CSK
AM Rahane,M Jansen,1,5,6,0,1,CSK
AM Rahane,M Jansen,1,5,2,0,2,CSK
AM Rahane,M Jansen,1,5,1,0,6,CSK
AM Rahane,L Balaji,2,0,1,0,0,CSK
AM Rahane,L Balaji,2,0,2,0,0,CSK
AM Rahane,L Balaji,2,0,3,0,0,CSK
AM Rahane,L Balaji,2,0,5,0,0,CSK
AM Rahane,BE Hendricks,2,1,3,0,0,CSK
AM Rahane,JP Duminy,1,0,1,0,0,CSK
AM Rahane,JP Duminy,1,0,5,0,0,CSK
AM Rahane,R Shukla,1,1,1,0,0,CSK
AM Rahane,R Shukla,1,1,3,0,0,CSK
AM Rahane,R Shukla,1,1,4,0,0,CSK
AM Rahane,R Shukla,1,1,5,0,0,CSK
AM Rahane,S Kaul,1,2,6,0,0,CSK
AM Rahane,R Shukla,1,3,5,0,0,CSK
AM Rahane,R Shukla,1,3,6,0,0,CSK
AM Rahane,S Nadeem,1,5,1,0,0,CSK
AM Rahane,JA Morkel,2,0,1,0,0,CSK
AM Rahane,JA Morkel,2,0,2,0,0,CSK
AM Rahane,JA Morkel,2,0,3,0,0,CSK
AM Rahane,JA Morkel,2,0,5,0,0,CSK
AM Rahane,AB Dinda,2,3,2,0,0,CSK
AM Rahane,AB Dinda,2,3,3,0,0,CSK
AM Rahane,AB Dinda,2,3,4,0,0,CSK
AM Rahane,AB Dinda,2,3,5,0,0,CSK
AM Rahane,B Kumar,2,0,1,0,0,CSK
AM Rahane,B Kumar,2,0,2,0,0,CSK
AM Rahane,B Kumar,2,0,3,1,0,CSK
AM Rahane,R Vinay Kumar,1,0,2,0,0,CSK
AM Rahane,UT Yadav,1,1,1,0,0,CSK
AM Rahane,UT Yadav,1,1,2,0,0,CSK
AM Rahane,UT Yadav,1,1,5,0,0,CSK
AM Rahane,R Vinay Kumar,1,2,4,0,0,CSK
AM Rahane,R Vinay Kumar,1,2,5,0,0,CSK
AM Rahane,UT Yadav,1,3,1,0,0,CSK
AM Rahane,UT Yadav,1,3,2,0,0,CSK
AM Rahane,SP Narine,1,5,5,0,0,CSK
AM Rahane,S Nadeem,2,0,5,0,0,CSK
AM Rahane,Mohammed Shami,2,1,2,0,0,CSK
AM Rahane,WD Parnell,2,2,1,0,0,CSK
